Tag_number,Tag shape,Reason,,,,,,,,
430,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1403,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1431,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
437,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
453,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
473,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1407,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
435,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
487,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
485,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
491,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1410,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1485,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1459,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
411,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1491,round,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1421,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
931,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1431,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1432,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
941,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1409,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
1457,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
978,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
985,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
981,long,"Tags came loose from barrens (site 27, 28; collected June 15th)",,,,,,,,
