year,site,area_m,ndvi_min,ndvi_max,ndvi_range,ndvi_mean,ndvi_std
2012,6,24,-0.154929578,-0.081081077,0.073848501,-0.118781549,0.021679343
2012,7,24,-0.08171206,-0.008547009,0.073165051,-0.043284004,0.017560372
2012,8,25,-0.15384616,-0.025423728,0.128422432,-0.10108759,0.037741303
2012,9,25,-0.15481171,-0.115044251,0.039767459,-0.135527152,0.010556938
2012,10,24,-0.214953274,-0.147208124,0.067745149,-0.183069029,0.018867454
2012,11,26,-0.094170406,0.058365759,0.152536165,-0.020478079,0.04746273
2012,12,24,-0.08171206,0.033457249,0.115169309,-0.030221337,0.03060235
2012,13,27,-0.128630713,-0.053571429,0.075059284,-0.088093695,0.02402223
2012,14,24,-0.184210524,-0.119999997,0.064210527,-0.150717199,0.018767762
2012,15,26,-0.178571433,-0.078125,0.100446433,-0.138029031,0.026702452
2012,16,24,-0.281105995,-0.209523812,0.071582183,-0.239122625,0.01957096
2012,17,24,-0.158878505,-0.123809524,0.035068981,-0.139281566,0.008836625
2012,18,24,-0.238578677,-0.111111112,0.127467565,-0.209743182,0.026813274
2012,19,23,-0.257383972,-0.166666672,0.090717301,-0.189155279,0.021555386
2012,20,26,-0.22869955,-0.163636357,0.065063193,-0.191640258,0.016164838
2012,21,24,-0.167235494,-0.058441557,0.108793937,-0.100784488,0.026473193
2012,22,24,-0.201877937,-0.156398103,0.045479834,-0.18551128,0.01047772
2012,23,26,-0.143939391,0.582887709,0.7268271,0.203838464,0.254849729
2012,24,27,-0.153284669,-0.07984791,0.073436759,-0.125148231,0.015251043
2012,25,26,-0.06666667,0.05172414,0.11839081,0.003251573,0.027683578
2012,26,26,-0.336405516,-0.217777774,0.118627742,-0.259070564,0.031800276
2012,27,26,-0.271844655,-0.178743958,0.093100697,-0.221755911,0.027665542
2012,28,23,-0.351778656,-0.262711853,0.089066803,-0.319583867,0.023072347
2012,29,22,-0.227272734,-0.06666667,0.160606064,-0.174585251,0.040627416
2012,30,27,-0.117647059,-0.074380167,0.043266892,-0.09635507,0.013140002
2012,S2,24,-0.219917014,-0.121739127,0.098177887,-0.177834934,0.025683468
2012,S31,24,-0.154929578,-0.081967212,0.072962366,-0.123666993,0.01757297
2012,S33,22,-0.276785702,-0.185520366,0.091265336,-0.234177293,0.02573166
2014,1,27,-0.163498104,-0.077966101,0.085532002,-0.112352459,0.020813528
2014,2,26,-0.18577075,0.007751938,0.193522688,-0.093575479,0.041928382
2014,3,25,-0.148387089,0.038348082,0.186735172,-0.071189358,0.053399586
2014,4,25,-0.229629636,0.280701756,0.510331392,-0.017315804,0.167476785
2014,5,24,-0.11186441,-0.013605442,0.098258968,-0.063246668,0.02349138
2014,6,24,-0.18777293,-0.020833334,0.166939596,-0.091326072,0.035870542
2014,7,24,-0.061538462,0.042904291,0.104442753,-0.013036309,0.024639973
